"","Ascomycota","Basidiomycota","Microsporidia","Mucoromycota"
"13767.58cfa835e4b0c9d6adf6ed22",1,1,0,0
"13767.58cfa833e4b0c9d6adf6da0a",8,0,0,0
"13767.58cfa837e4b0c9d6adf6ff86",1,1,0,0
"13767.58cfa832e4b0c9d6adf6d72a",18,0,0,1
"13767.58cfa838e4b0c9d6adf70bcd",5,2,0,1
"13767.58cfa838e4b0c9d6adf70dec",10,1,0,0
"13767.58cfa835e4b0c9d6adf6ecb4",1,2,0,0
"13767.58cfa837e4b0c9d6adf70058",6,4,0,0
"13767.58cfa838e4b0c9d6adf70716",56,2,0,1
"13767.58cfa833e4b0c9d6adf6da2f",6,0,0,0
"13767.58cfa832e4b0c9d6adf6d7ae",11,0,0,0
"13767.58cfa832e4b0c9d6adf6d82c",14,1,0,1
"13767.58cfa837e4b0c9d6adf6ff8e",13,0,0,0
"13767.58cfa832e4b0c9d6adf6d6cf",0,1,0,0
"13767.58cfa832e4b0c9d6adf6d6aa",20,1,0,1
"13767.58cfa833e4b0c9d6adf6da24",4,0,0,0
"13767.58cfa832e4b0c9d6adf6d719",20,4,0,2
"13767.58cfa833e4b0c9d6adf6dd1e",4,1,0,0
"13767.58cfa835e4b0c9d6adf6ee18",113,3,0,3
"13767.58cfa833e4b0c9d6adf6db9a",11,1,0,1
"13767.58cfa837e4b0c9d6adf6ff88",9,0,0,0
"13767.58cfa837e4b0c9d6adf6ffa8",5,1,0,1
"13767.58cfa837e4b0c9d6adf7034e",2,1,0,0
"13767.58cfa832e4b0c9d6adf6d783",14,2,0,0
"13767.58cfa833e4b0c9d6adf6d88c",14,3,0,1
"13767.58cfa838e4b0c9d6adf709ca",14,0,0,1
"13767.58cfa832e4b0c9d6adf6d6a8",24,0,0,1
"13767.58cfa833e4b0c9d6adf6d86c",3,1,0,0
"13767.58cfa833e4b0c9d6adf6d876",6,1,0,0
"13767.58cfa835e4b0c9d6adf6eda9",38,0,0,2
"13767.58cfa835e4b0c9d6adf6ed42",0,1,0,0
"13767.58cfa833e4b0c9d6adf6d911",18,0,0,1
"13767.58cfa832e4b0c9d6adf6d759",48,0,0,1
"13767.58cfa833e4b0c9d6adf6d926",7,2,0,0
