"","Dothideomycetes","Eurotiomycetes","Leotiomycetes","Orbiliomycetes","Fungi_Ascomycota_other","Pneumocystidomycetes","Saccharomycetes","Schizosaccharomycetes","Sordariomycetes","Xylonomycetes","Agaricomycetes","Exobasidiomycetes","Malasseziomycetes","Microbotryomycetes","Pucciniomycetes","Tremellomycetes","Ustilaginomycetes","Wallemiomycetes","Fungi_Microsporidia_other","Glomeromycetes","Mucoromycetes"
"13767.58cfa83ce4b0c9d6adf72e70",348,124,0,0,0,0,37,0,44,1,0,0,54,0,0,0,0,14,0,11,0
"13767.58cfa83ce4b0c9d6adf72e18",90,320,4,1,1,1,132,0,250,0,38,2,253,194,1,21,3,13,0,28,1
"13767.58cfa83ce4b0c9d6adf72e84",115,35,0,0,0,0,28,0,9,0,2,0,71,2,0,0,0,4,0,4,0
"13767.58cfa83ce4b0c9d6adf72fa8",20,98,4,0,0,0,23,0,36,0,5,1,243,2,1,13,6,2,0,7,0
"13767.58cfa832e4b0c9d6adf6d398",105,298,4,0,0,0,270,0,102,0,10,1,228,11,0,5,4,1,0,26,1
"13767.58cfa83ce4b0c9d6adf7300c",4,7,0,0,0,0,103,0,22,0,2,0,32,0,0,0,0,0,0,0,0
"13767.58cfa831e4b0c9d6adf6c3b4",58,94,2,0,0,0,83,0,37,0,2,0,333,0,0,6,0,6,0,9,0
"13767.58cfa830e4b0c9d6adf6c2ed",8,32,0,0,0,0,81,1,17,0,0,1,25,0,0,0,0,0,0,0,0
"13767.58cfa83ce4b0c9d6adf73146",3,313,0,0,0,0,22,0,42,0,0,0,59,0,0,0,0,0,0,6,0
"13767.58cfa83ce4b0c9d6adf72fe2",77,171,0,1,0,0,199,0,87,0,7,1,627,0,1,0,2,23,0,3,0
"13767.58cfa83ce4b0c9d6adf73010",46,79,0,0,0,0,26,0,25,0,0,0,102,0,1,0,0,7,0,5,0
"13767.58cfa83ce4b0c9d6adf72e01",85,46,0,0,0,0,10,0,14,0,1,0,31,0,0,0,0,2,0,3,0
"13767.58cfa830e4b0c9d6adf6be1c",2,18,0,0,0,0,0,0,1,0,0,1,40,0,0,2,0,0,0,2,0
"13767.58cfa832e4b0c9d6adf6d2c6",2,18,0,0,0,0,0,0,1,0,0,0,21,0,0,1,0,0,0,2,0
"13767.58cfa831e4b0c9d6adf6c3c6",205,118,0,0,0,0,57,0,46,0,15,0,116,17,0,3,0,4,0,23,0
"13767.58cfa830e4b0c9d6adf6bf34",13,326,0,0,0,0,112,0,23,0,3,0,53,0,0,0,0,0,0,0,0
"13767.58cfa830e4b0c9d6adf6c316",139,30,0,0,0,0,5,0,12,0,0,0,14,0,0,0,0,4,0,3,0
"13767.58cfa831e4b0c9d6adf6c38e",122,29,0,0,0,0,35,0,10,0,3,0,65,0,0,0,0,4,0,3,0
"13767.58cfa831e4b0c9d6adf6c3bf",31,110,0,0,0,0,42,0,78,0,14,0,95,65,1,4,1,4,0,7,1
"13767.58cfa831e4b0c9d6adf6cd80",490,46,8,1,1,2,15,0,152,0,5,0,18,0,0,4,0,0,0,5,0
"13767.58cfa830e4b0c9d6adf6bfc5",9,7,0,0,0,0,3,0,2,0,0,0,13,0,0,0,0,4,0,1,0
"13767.58cfa832e4b0c9d6adf6d560",72,108,3,1,0,0,12,0,34,0,2,0,552,0,1,1,0,5,0,7,0
"13767.58cfa83ce4b0c9d6adf72e59",39,256,2,0,1,1,597,2,152,0,16,4,219,3,1,9,4,5,0,4,0
"13767.58cfa830e4b0c9d6adf6c086",32,64,5,0,0,0,589,0,136,0,7,2,161,4,0,1,2,0,0,1,0
"13767.58cfa83ce4b0c9d6adf72e42",66,88,1,0,0,0,88,0,40,0,2,0,328,0,0,4,0,5,0,9,0
"13767.58cfa83ce4b0c9d6adf72dff",2734,366,78,18,12,3,181,10,401,0,135,17,310,308,5,21,26,10,9,10,2
"13767.58cfa832e4b0c9d6adf6d574",32,37,0,0,0,0,22,0,11,0,0,0,959,0,0,0,0,0,0,5,0
"13767.58cfa83ce4b0c9d6adf72df4",41,45,2,0,0,0,7,0,141,0,0,0,28,0,0,0,1,0,0,5,0
"13767.58cfa83ce4b0c9d6adf730a1",828,73,0,0,0,0,17,0,26,0,1,0,145,1,0,0,0,1,0,11,0
"13767.58cfa831e4b0c9d6adf6c3d0",218,6,1,0,0,0,4,0,4,0,0,0,115,0,2,0,0,0,0,1,0
"13767.58cfa832e4b0c9d6adf6d42f",5,6,0,0,0,0,6,0,3,0,0,0,16,0,0,0,0,0,0,3,0
"13767.58cfa83ce4b0c9d6adf72ff4",19,280,3,0,0,0,25,0,57,0,2,4,184,19,1,9,1,0,0,19,0
"13767.58cfa832e4b0c9d6adf6d2a2",77,171,0,1,0,0,199,0,87,0,7,1,627,0,1,0,2,23,0,3,0
"13767.58cfa832e4b0c9d6adf6d562",74,283,0,0,0,0,54,0,91,0,8,1,276,3,2,2,0,1,0,20,0
"13767.58cfa830e4b0c9d6adf6be11",7,13,0,0,0,0,3,0,2,0,2,0,10,2,0,0,0,0,0,2,0
"13767.58cfa83ce4b0c9d6adf73079",90,125,0,0,0,0,26,0,32,0,0,0,60,0,0,0,3,10,0,17,0
