"","Tritirachiomycetes","Cystobasidiomycetes","other","Malasseziomycetes","Pucciniomycetes","other","Leotiomycetes","Microbotryomycetes","Pneumocystidomycetes","Ustilaginomycetes","Eurotiomycetes","Mucoromycetes","Tremellomycetes","other","Lecanoromycetes","Saccharomycetes","Sordariomycetes","Pezizomycetes","Arthoniomycetes","Exobasidiomycetes","Agaricostilbomycetes","Agaricomycetes","Dothideomycetes","diversity"
"F0344",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2141130,0,0,0,0,0,0,52000,2
"F0345",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,477125,0,0,0,0,0,0,0,1
"F0346",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4340,0,0,0,0,0,0,0,1
"F0351",0,0,0,10200,0,0,0,0,0,0,0,0,0,0,0,436385,0,0,0,0,0,0,0,2
"F0353",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32795,0,0,0,0,0,0,0,1
"F0356",0,0,0,0,0,0,0,37010,0,0,0,0,0,0,0,2215410,0,0,0,0,0,0,0,2
"F0368",0,0,0,35625,0,0,0,0,0,44245,0,0,0,0,0,226345,0,0,0,0,0,0,123545,4
"F0369",0,0,0,1456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50753,2
"F0374",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2448920,1
"F0376",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,134280,0,0,0,0,0,0,0,1
"F0388",0,0,0,0,0,0,0,0,0,0,616690,0,0,0,0,0,83800,0,0,0,0,0,158760,3
"F0391",0,0,0,0,0,0,0,0,0,0,4431,0,0,0,0,0,0,0,0,0,0,0,17656,2
"F0396",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1590,0,0,0,0,0,0,6682,2
"F0397",0,0,0,18634,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0398",0,0,0,1912,0,0,0,0,0,0,4590,0,0,0,0,28513,0,0,0,0,0,0,0,3
"F0405",0,0,0,35166,0,0,0,0,0,0,5616,0,0,0,0,0,0,0,0,0,0,0,0,2
"F0411",0,0,0,48138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0414",0,0,0,18118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0415",0,0,0,8518,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
