"","Tritirachiomycetes","Cystobasidiomycetes","other","Malasseziomycetes","Pucciniomycetes","other","Leotiomycetes","Microbotryomycetes","Pneumocystidomycetes","Ustilaginomycetes","Eurotiomycetes","Mucoromycetes","Tremellomycetes","other","Lecanoromycetes","Saccharomycetes","Sordariomycetes","Pezizomycetes","Arthoniomycetes","Exobasidiomycetes","Agaricostilbomycetes","Agaricomycetes","Dothideomycetes","diversity"
"F0489",0,0,0,0.239185327928766,0,0,0,0.287161937670277,0,0,0.136000177198928,0,0.142822335924868,0,0,0,0,0,0,0.0291492236471969,0,0.165680997629964,0,6
"F0494",0,0,0,0.684034449629426,0,0,0,0,0,0,0.315965550370574,0,0,0,0,0,0,0,0,0,0,0,0,2
"F0496",0,0,0,0.0835355285961872,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.916464471403813,2
"F0497",0,0,0,0.0940907875318192,0,0,0,0.10502075058686,0,0,0.567545884054239,0,0,0,0,0,0,0,0,0,0,0.0712304751339626,0.162112102693119,5
"F0500",0,0,0,0.0957839988173156,0,0,0,0.0228069939656215,0,0,0.141760855833457,0,0,0,0,0.081121399868292,0,0,0,0,0,0.47488811536549,0.183638636149825,6
"F0501",0,0,0,0,0,0,0,0,0,0,0.239756897022671,0,0,0,0,0.760243102977329,0,0,0,0,0,0,0,2
"F0506",0,0,0,0.103779851336391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.341973746639254,0.554246402024355,3
"F0507",0,0,0,0.43087764503787,0,0,0,0,0,0,0.204712266729133,0,0,0,0,0,0.364410088232998,0,0,0,0,0,0,3
"F0510",0,0,0,0,0,0,0,0,0,0,0.987406432106893,0,0,0,0,0,0,0,0,0,0,0.0125935678931071,0,2
"F0513",0,0,0,0,0,0,0,0,0,0,0.3366780529462,0,0,0,0,0,0,0,0,0,0,0,0.6633219470538,2
"F0478",0,0,0,0.636848657300373,0,0,0,0,0,0,0,0,0,0,0,0.363151342699627,0,0,0,0,0,0,0,2
"F0514",0,0,0,0.623936380726229,0,0,0.186937271198179,0.0327124765014346,0,0,0.12955130107846,0,0,0,0,0.0268625704956961,0,0,0,0,0,0,0,5
"F0515",0,0,0,0.109929609105886,0,0,0,0.336405843669585,0,0,0.553664547224529,0,0,0,0,0,0,0,0,0,0,0,0,3
"F0516",0,0,0,0.585328226407065,0,0,0,0,0,0,0.0875359080753272,0,0,0,0,0,0,0,0,0,0,0,0.327135865517608,3
"F0517",0,0,0,0.736096494778596,0,0,0,0.0959685906257589,0,0,0.167934914595645,0,0,0,0,0,0,0,0,0,0,0,0,3
"F0519",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
"F0522",0,0,0,0.0338097686375321,0,0,0,0,0,0,0.0334190231362468,0,0,0,0,0.932771208226221,0,0,0,0,0,0,0,3
"F0479",0,0,0,0,0,0,0,0,0,0,0.0126928402185185,0,0.251099254418742,0,0,0.374470648893214,0.361737256469525,0,0,0,0,0,0,4
"F0525",0,0,0,0.18791749247596,0,0,0,0,0,0,0.278964496317502,0,0,0,0,0.025765249944946,0,0,0,0,0,0,0.507352761261592,4
"F0538",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0541",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.442302803392729,0,0,0,0,0,0,0.557697196607271,2
"F0545",0,0,0,0.184638604729163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.815361395270837,2
"F0546",0,0,0,0.276059706415966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.154750123701138,0.569190169882896,3
"F0482",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
"F0560",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"F0563",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"F0483",0,0,0,0,0,0,0,0,0,0,0.359373359005776,0,0.640626640994224,0,0,0,0,0,0,0,0,0,0,2
"F0566",0,0,0,0.159602192732828,0,0,0,0,0,0,0,0,0,0,0,0.167570320222868,0,0,0,0,0,0,0.672827487044304,3
"F0567",0,0,0,0.144385561443856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.855614438556144,2
"F0568",0,0,0,0.473964739647396,0,0,0,0,0,0,0,0,0,0,0,0.526035260352604,0,0,0,0,0,0,0,2
"F0569",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0580",0,0,0,0.163755579840338,0,0,0,0,0,0,0,0,0,0,0,0.836244420159662,0,0,0,0,0,0,0,2
"F0770",0,0,0,0.866221182759773,0,0,0,0,0,0,0,0,0,0,0,0.133778817240227,0,0,0,0,0,0,0,2
"F0581",0,0,0,0,0,0,0,0.704601823599736,0,0,0.036293560301911,0,0,0,0,0.0317256392412969,0,0,0,0,0,0,0.227378976857056,4
"F0777",0,0,0,0.273450626089713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.726549373910287,2
"F0781",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"F0582",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.244923331951927,0,0,0,0,0,0,0.755076668048073,2
"F0786",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0790",0,0,0,0,0,0,0.0405328798185941,0,0,0,0.0110178479994148,0,0.948449272181991,0,0,0,0,0,0,0,0,0,0,3
"F0794",0,0,0.0089309674856965,0,0,0,0,0.711659635676639,0,0,0,0,0.0373125516589916,0,0,0,0,0,0,0,0,0,0.242096845178673,4
"F0800",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
"F0809",0,0,0,0.0117934671888087,0,0,0,0,0,0,0,0,0,0,0,0,0.0585146116757589,0,0,0,0,0,0.929691921135432,3
"F0811",0,0,0,0.0412138130807281,0,0,0,0,0,0,0,0,0,0,0,0.958786186919272,0,0,0,0,0,0,0,2
"F0812",0,0,0,0.551639527102387,0,0,0,0,0,0,0,0,0,0.448360472897613,0,0,0,0,0,0,0,0,0,2
"F0813",0,0,0,0,0,0,0,0,0,0,0,0,0.038464014419982,0,0,0.961535985580018,0,0,0,0,0,0,0,2
"F0817",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
"F0818",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0586",0,0,0,0,0,0,0,0,0,0,0.530001750393839,0,0,0,0,0,0,0,0,0,0,0,0.469998249606161,2
"F0826",0,0,0.0296341599021461,0,0,0,0,0,0,0,0,0,0,0.0815356388302013,0,0,0.50233514956077,0,0,0,0,0.31252084954965,0.0739742021572334,5
"F0827",0,0,0,0,0,0,0,0,0,0,0,0,0.0723955379088675,0,0,0,0,0,0,0,0,0,0.927604462091133,2
"F0829",0,0,0,0,0,0,0,0,0,0.66327474560592,0,0,0.0671542553191489,0.066518270120259,0,0.203052728954672,0,0,0,0,0,0,0,4
"F0830",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0832",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0833",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0836",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.317371408566928,0.682628591433072,2
"F0837",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0839",0,0,0,0.27851202005241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.72148797994759,2
"F0840",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0841",0,0,0,0.0491572693100521,0,0,0,0.950842730689948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"F0845",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0848",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
"F0850",0,0,0,0,0,0,0,0.803486399771116,0,0,0.0211309341344287,0,0,0,0,0,0,0,0,0,0,0,0.175382666094456,3
"F0851",0,0,0,0.194714999576522,0,0,0,0,0,0,0,0,0.805285000423478,0,0,0,0,0,0,0,0,0,0,2
"F0854",0,0,0,0.277499496576722,0,0,0,0,0,0,0,0,0,0,0,0.722500503423278,0,0,0,0,0,0,0,2
"F0856",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0858",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0670",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"F0671",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0672",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0673",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0674",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"F0675",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"F0676",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
