"","Dothideomycetes","Eurotiomycetes","Leotiomycetes","Orbiliomycetes","Fungi_Ascomycota_other","Pneumocystidomycetes","Saccharomycetes","Schizosaccharomycetes","Sordariomycetes","Xylonomycetes","Agaricomycetes","Exobasidiomycetes","Malasseziomycetes","Microbotryomycetes","Pucciniomycetes","Tremellomycetes","Ustilaginomycetes","Wallemiomycetes","Fungi_Microsporidia_other","Glomeromycetes","Mucoromycetes"
"13722.58cfa830e4b0c9d6adf6bf3d",799,22,1,0,0,0,14,0,3,0,1,2,22453,2,0,324,0,0,0,0,0
"13722.58cfa831e4b0c9d6adf6c36a",35,1,0,0,0,0,0,0,0,0,0,0,4686,0,0,15,0,0,0,0,0
"13722.58cfa831e4b0c9d6adf6c43c",3,10,0,0,0,0,15,0,0,0,0,0,19876,0,0,6,0,0,0,0,0
"13722.58cfa831e4b0c9d6adf6c4da",0,0,0,0,0,0,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0
"13722.58cfa831e4b0c9d6adf6c4f6",4,2,0,0,0,0,1,0,5,0,0,0,9672,0,0,6,0,0,0,0,0
"13722.58cfa831e4b0c9d6adf6c4be",54,3,1,0,0,0,1025,0,2,0,0,0,11014,0,0,16,0,0,0,0,0
"13722.58cfa831e4b0c9d6adf6c502",4,1,0,0,0,0,0,0,0,0,0,0,10566,0,0,3,0,0,0,0,0
"13722.58cfa831e4b0c9d6adf6c580",21,0,0,0,0,0,5,0,0,0,2,0,5199,0,0,8,0,0,0,0,0
"13722.58cfa831e4b0c9d6adf6c5eb",71,1,0,0,0,0,29,0,0,0,0,0,3927,0,0,30,0,0,0,0,0
"13722.58cfa831e4b0c9d6adf6c600",84,7,0,0,0,0,13,0,2,0,2,0,13606,0,0,35,0,0,0,0,1
"13722.58cfa831e4b0c9d6adf6c640",84,7,0,0,0,0,13,0,2,0,2,0,13606,0,0,35,0,0,0,0,1
"13722.58cfa831e4b0c9d6adf6c94f",3,1,1,0,0,0,4,0,0,0,0,0,14820,0,0,2,0,0,0,0,0
"13722.58cfa830e4b0c9d6adf6c032",0,0,0,0,0,0,0,0,0,0,0,0,910,0,0,0,0,0,0,0,0
"13722.58cfa830e4b0c9d6adf6c2f5",0,0,0,0,0,0,0,0,0,0,0,0,1130,0,0,0,0,0,0,0,0
"13722.58cfa831e4b0c9d6adf6c9d0",1,8,0,0,0,0,2,0,3,0,0,0,18235,0,2,2,0,0,0,1,0
